pid,other_pids,title,year,journal,link,type
95/7006,"['26/7230', '95/7006', '08/1924', '73/9801', '40/3865', '50/5032', '208/5795', '120/8258']",Motor imagery BCI for upper limb stroke rehabilitation: An evaluation of the EEG recordings using coherence analysis.,2013,EMBC,"['https://doi.org/10.1109/EMBC.2013.6609487', 'https://www.wikidata.org/entity/Q44551470']",inproceedings
95/7006,"['59/1351', '95/7006', '08/1924', '40/3865', '73/9801', '208/5309', '82/2544']",Feature consistency-based model adaptation in session-to-session classification: A study using motor imagery of swallow EEG signals.,2013,EMBC,"['https://doi.org/10.1109/EMBC.2013.6609528', 'https://www.wikidata.org/entity/Q45757911']",inproceedings
95/7006,"['18/9428', '92/249', '95/7006']",Design of an online EEG based neurofeedback game for enhancing attention and memory.,2013,EMBC,"['https://doi.org/10.1109/EMBC.2013.6609529', 'https://www.wikidata.org/entity/Q48947606']",inproceedings
95/7006,"['82/10885', '95/7006', '08/1924', '68/5333-1']",Improving session-to-session transfer performance of motor imagery-based BCI using adaptive extreme learning machine.,2013,EMBC,"['https://doi.org/10.1109/EMBC.2013.6609969', 'https://www.wikidata.org/entity/Q47206058']",inproceedings
95/7006,"['16/11513', '08/1924', '94/581', '95/7006']",Optimizing low-frequency common spatial pattern features for multi-class classification of hand movement directions.,2013,EMBC,"['https://doi.org/10.1109/EMBC.2013.6610117', 'https://www.wikidata.org/entity/Q48155154']",inproceedings
95/7006,"['04/4224', '208/6008', '95/7006']",Estimation of glance from EEG for cursor control.,2013,EMBC,"['https://doi.org/10.1109/EMBC.2013.6610151', 'https://www.wikidata.org/entity/Q51154582']",inproceedings
95/7006,"['08/1924', '95/7006', '181/8442', '73/9801', '40/3865', '144/3922', '82/2544', '56/7681', '206/8487', '181/8395']",A clinical study of motor imagery BCI performance in stroke by including calibration data from passive movement.,2013,EMBC,"['https://doi.org/10.1109/EMBC.2013.6611069', 'https://www.wikidata.org/entity/Q30674405']",inproceedings
95/7006,"['86/4967', '08/1924', '95/7006']",Neural decoding of movement targets by unsorted spike trains.,2013,ICASSP,https://doi.org/10.1109/ICASSP.2013.6637790,inproceedings
95/7006,"['00/6131', '43/3254', '95/7006', 'o/SimHengOng', '64/7057', '08/1924']",Joint spatial-temporal filter design for analysis of motor imagery EEG.,2013,ICASSP,https://doi.org/10.1109/ICASSP.2013.6637795,inproceedings
95/7006,"['59/1351', '95/7006', '40/3865', '08/1924']",Maximum dependency and minimum redundancy-based channel selection for motor imagery of walking EEG signal detection.,2013,ICASSP,https://doi.org/10.1109/ICASSP.2013.6637838,inproceedings
95/7006,"['25/10066', '95/7006', '43/3254', '08/1924', '68/5333-1', '00/4951']",Error entropy based adaptive kernel classification for non-stationary EEG analysis.,2013,ICASSP,https://doi.org/10.1109/ICASSP.2013.6637847,inproceedings
95/7006,"['118/5100', '92/249', '95/7006']",Hand Movement Trajectory Reconstruction from EEG for Brain-Computer Interface Systems.,2013,SMC,https://doi.org/10.1109/SMC.2013.533,inproceedings
95/7006,"['26/7230', 'q/HiokChaiQuek', '95/7006']",SoHyFIS-Yager: A self-organizing Yager based Hybrid neural Fuzzy Inference System.,2012,Expert Syst. Appl.,https://doi.org/10.1016/j.eswa.2012.02.056,article
95/7006,"['08/1924', '91/3475', '43/3254', '95/7006']",Mutual information-based selection of optimal spatial-temporal patterns for single-trial EEG-based BCIs.,2012,Pattern Recognit.,https://doi.org/10.1016/j.patcog.2011.04.018,article
95/7006,"['32/10649', '37/3890', '32/8427', '95/7006', 's/TanjaSchultz']",Speaking mode recognition from functional Near Infrared Spectroscopy.,2012,EMBC,"['https://doi.org/10.1109/EMBC.2012.6346279', 'https://www.wikidata.org/entity/Q48185628']",inproceedings
95/7006,"['82/10885', '95/7006', '08/1924', '68/5333-1']",Online semi-supervised learning with KL distance weighting for Motor Imagery-based BCI.,2012,EMBC,"['https://doi.org/10.1109/EMBC.2012.6346529', 'https://www.wikidata.org/entity/Q43841907']",inproceedings
95/7006,"['31/7025', '16/1234-1', '95/7006', '03/886', '209/0872', '69/5971', '58/9678']",Utilization of temporal information for intracranial pressure development trend forecasting in traumatic brain injury.,2012,EMBC,"['https://doi.org/10.1109/EMBC.2012.6346826', 'https://www.wikidata.org/entity/Q39475632']",inproceedings
95/7006,"['57/9874', '95/7006', '08/1924', 'q/HiokChaiQuek']",Omitting the intra-session calibration in EEG-based brain computer interface used for stroke rehabilitation.,2012,EMBC,"['https://doi.org/10.1109/EMBC.2012.6346874', 'https://www.wikidata.org/entity/Q45931794']",inproceedings
95/7006,"['08/1924', '95/7006', '73/9801', '40/3865', '163/9829', '209/0934', '120/8258']",Transcranial direct current stimulation and EEG-based motor imagery BCI for upper limb stroke rehabilitation.,2012,EMBC,"['https://doi.org/10.1109/EMBC.2012.6346875', 'https://www.wikidata.org/entity/Q47919572']",inproceedings
95/7006,"['16/11513', '95/7006']",Impact of obstructive sleep apnea on sleep-wake stage ratio.,2012,EMBC,"['https://doi.org/10.1109/EMBC.2012.6347006', 'https://www.wikidata.org/entity/Q48197234']",inproceedings
95/7006,"['118/5252', '64/7057', '08/1924', '95/7006', '70/9825']",Prefrontal cortical activation during arithmetic processing differentiated by cultures: A preliminary fNIRS study.,2012,EMBC,"['https://doi.org/10.1109/EMBC.2012.6347020', 'https://www.wikidata.org/entity/Q48184087']",inproceedings
95/7006,"['59/1351', '95/7006', '08/1924', '64/7057', '43/3254']",Cluster impurity and forward-backward error maximization-based active learning for EEG signals classification.,2012,ICASSP,https://doi.org/10.1109/ICASSP.2012.6287943,inproceedings
95/7006,"['94/3756', '43/3254', '08/1924', '95/7006', '64/7057', '40/3865', '118/5252']",Fast emotion detection from EEG using asymmetric spatial filtering.,2012,ICASSP,https://doi.org/10.1109/ICASSP.2012.6287952,inproceedings
95/7006,"['08/1924', '118/5252', '95/7006']",Extracting effective features from high density nirs-based BCI for assessing numerical cognition.,2012,ICASSP,https://doi.org/10.1109/ICASSP.2012.6288357,inproceedings
95/7006,"['57/9874', '95/7006', '08/1924', 'q/HiokChaiQuek']",Multi-frequency band common spatial pattern with sparse optimization in Brain-Computer Interface.,2012,ICASSP,https://doi.org/10.1109/ICASSP.2012.6288434,inproceedings
95/7006,"['32/10649', '32/8427', '37/3890', '95/7006', 's/TanjaSchultz']",Cross-Subject Classification of Speaking Modes Using fNIRS.,2012,ICONIP (2),https://doi.org/10.1007/978-3-642-34481-7_51,inproceedings
95/7006,"['48/1294', '31/7025', '126/0795', '16/1234-1', '95/7006']",Online ICP forecast for patients with traumatic brain injury.,2012,ICPR,http://ieeexplore.ieee.org/document/6460066/,inproceedings
95/7006,"['31/7025', '126/0795', '48/3801', '44/551', '48/1294', '95/7006']",Artifact correction with robust statistics for non-stationary intracranial pressure signal monitoring.,2012,ICPR,http://ieeexplore.ieee.org/document/6460195/,inproceedings
95/7006,"['59/1351', '95/7006', '08/1924', '43/3254', '40/3865']",Iterative clustering and support vectors-based high-confidence query selection for motor imagery EEG signals classification.,2012,ICPR,http://ieeexplore.ieee.org/document/6460592/,inproceedings
95/7006,"['08/1924', '118/5252', '95/7006']",Extracting and selecting discriminative features from high density NIRS-based BCI for numerical cognition.,2012,IJCNN,https://doi.org/10.1109/IJCNN.2012.6252604,inproceedings
95/7006,"['57/9874', '95/7006', '08/1924', 'q/HiokChaiQuek']",Robust EEG channel selection across sessions in brain-computer interface involving stroke patients.,2012,IJCNN,https://doi.org/10.1109/IJCNN.2012.6252687,inproceedings
95/7006,"['94/3756', '95/7006', '08/1924', '43/3254', '64/7057']",Asymmetric Spatial Pattern for EEG-based emotion detection.,2012,IJCNN,https://doi.org/10.1109/IJCNN.2012.6252390,inproceedings
95/7006,"['25/10066', '95/7006', '43/3254', '08/1924', '68/5333-1', '00/4951']",Dynamically Weighted Classification with Clustering to tackle non-stationarity in Brain computer Interfacing.,2012,IJCNN,https://doi.org/10.1109/IJCNN.2012.6252652,inproceedings
95/7006,"['64/7057', '95/7006', '08/1924', '73/9801', '59/1351', '94/3756', '118/5163']",Seizure detection based on spatiotemporal correlation and frequency regularity of scalp EEG.,2012,IJCNN,https://doi.org/10.1109/IJCNN.2012.6252656,inproceedings
95/7006,"['118/5100', '92/249', '95/7006', '08/1924', '94/581']",A modified Wavelet-Common Spatial Pattern method for decoding hand movement directions in brain computer interfaces.,2012,IJCNN,https://doi.org/10.1109/IJCNN.2012.6252685,inproceedings
95/7006,"['26/7230', 'q/HiokChaiQuek', '95/7006']",Traffic modeling and identification using a Self-adaptive Fuzzy Inference Network.,2012,IJCNN,https://doi.org/10.1109/IJCNN.2012.6252621,inproceedings
95/7006,"['59/1351', '95/7006', '08/1924', '40/3865', '73/9801', '118/5252']",Dynamic initiation and dual-tree complex wavelet feature-based classification of motor imagery of swallow EEG signals.,2012,IJCNN,https://doi.org/10.1109/IJCNN.2012.6252603,inproceedings
95/7006,"['43/3254', '95/7006', '51/2525']",A linear discriminant analysis method based on mutual information maximization.,2011,Pattern Recognit.,https://doi.org/10.1016/j.patcog.2010.11.001,article
95/7006,"['80/910', '95/7006']",Regularizing Common Spatial Patterns to Improve BCI Designs: Unified Theory and New Algorithms.,2011,IEEE Trans. Biomed. Eng.,"['https://doi.org/10.1109/TBME.2010.2082539', 'https://www.wikidata.org/entity/Q37796424']",article
95/7006,"['57/9874', '95/7006', '08/1924', 'q/HiokChaiQuek']",Optimizing the Channel Selection and Classification Accuracy in EEG-Based BCI.,2011,IEEE Trans. Biomed. Eng.,"['https://doi.org/10.1109/TBME.2011.2131142', 'https://www.wikidata.org/entity/Q51588015']",article
95/7006,"['43/3254', '10/1551', '08/1924', '95/7006', '40/3865']",Optimum Spatio-Spectral Filtering Network for Brain-Computer Interface.,2011,IEEE Trans. Neural Networks,"['https://doi.org/10.1109/TNN.2010.2084099', 'https://www.wikidata.org/entity/Q51616373']",article
95/7006,"['26/7230', 'q/HiokChaiQuek', '95/7006']",SaFIN: A Self-Adaptive Fuzzy Inference Network.,2011,IEEE Trans. Neural Networks,"['https://doi.org/10.1109/TNN.2011.2167720', 'https://www.wikidata.org/entity/Q48563290']",article
95/7006,"['118/5100', '92/249', '95/7006', '08/1924', '94/581']",A Wavelet-CSP method to classify hand movement directions in EEG based BCI system.,2011,ICICS,https://doi.org/10.1109/ICICS.2011.6174210,inproceedings
95/7006,"['08/1924', '91/3475', '43/3254', '95/7006']",Composite Filter Bank Common Spatial Pattern for motor imagery-based Brain-Computer Interface.,2011,CCMB,https://doi.org/10.1109/CCMB.2011.5952108,inproceedings
95/7006,"['31/7025', '126/0795', '48/1294', '95/7006']",Artifact removal for intracranial pressure monitoring signals: A robust solution with signal decomposition.,2011,EMBC,"['https://doi.org/10.1109/IEMBS.2011.6090182', 'https://www.wikidata.org/entity/Q39663186']",inproceedings
95/7006,"['08/1924', '95/7006', '40/3865', '73/9801', '217/6393', '144/3922']",Calibrating EEG-based motor imagery brain-computer interface from passive movement.,2011,EMBC,"['https://doi.org/10.1109/IEMBS.2011.6091042', 'https://www.wikidata.org/entity/Q43975157']",inproceedings
95/7006,"['31/7025', '16/1234-1', '48/1294', '14/1833', '126/0795', '25/2495', '35/3460', '217/6746', '209/0872', '58/9678', '95/7006']",iSyNCC: An intelligent system for patient monitoring & clinical decision support in Neuro-Critical-Care.,2011,EMBC,"['https://doi.org/10.1109/IEMBS.2011.6091586', 'https://www.wikidata.org/entity/Q45039440']",inproceedings
95/7006,"['48/1294', '31/7025', '80/5412', '126/0795', '35/3460', '16/1234-1', '217/6746', '95/7006', '209/0872', '58/9678']",Artificial neural network based intracranial pressure mean forecast algorithm for medical decision support.,2011,EMBC,"['https://doi.org/10.1109/IEMBS.2011.6091797', 'https://www.wikidata.org/entity/Q39662822']",inproceedings
95/7006,"['26/7230', 'q/HiokChaiQuek', '95/7006']",FAPOP: Feature analysis enhanced pseudo outer-product fuzzy rule identification system.,2011,FUZZ-IEEE,https://doi.org/10.1109/FUZZY.2011.6007472,inproceedings
95/7006,"['57/9874', '95/7006', '08/1924', 'q/HiokChaiQuek']",Spatially sparsed Common Spatial Pattern to improve BCI performance.,2011,ICASSP,https://doi.org/10.1109/ICASSP.2011.5946970,inproceedings
95/7006,"['82/10885', '95/7006', '08/1924', '68/5333-1']",Real coded GA-based SVM for motor imagery classification in a Brain-Computer Interface.,2011,ICCA,https://doi.org/10.1109/ICCA.2011.6138097,inproceedings
95/7006,"['08/1924', '91/3475', '43/3254', '95/7006']",Filter Bank Common Spatial Pattern (FBCSP) algorithm using online adaptive and semi-supervised learning.,2011,IJCNN,https://doi.org/10.1109/IJCNN.2011.6033248,inproceedings
95/7006,"['91/3475', '08/1924', '95/7006', '40/3865', '43/3254']",Filter Bank Feature Combination (FBFC) approach for brain-computer interface.,2011,IJCNN,https://doi.org/10.1109/IJCNN.2011.6033381,inproceedings
95/7006,"['51/2525', '33/10653', '50/8041', '29/3856', '40/3865', '43/3254', '95/7006']",An EEG-Based BCI System for 2-D Cursor Control by Combining Mu/Beta Rhythm and P300 Potential.,2010,IEEE Trans. Biomed. Eng.,"['https://doi.org/10.1109/TBME.2010.2055564', 'https://www.wikidata.org/entity/Q48135190']",article
95/7006,"['96/142', '11/1345', '95/7006', 'p/KonstantinosNPlataniotis', '18/5785']",Regularized Common Spatial Pattern With Aggregation for EEG Classification in Small-Sample Setting.,2010,IEEE Trans. Biomed. Eng.,"['https://doi.org/10.1109/TBME.2010.2082540', 'https://www.wikidata.org/entity/Q44453779']",article
95/7006,"['80/910', '95/7006']",Learning from other subjects helps reducing Brain-Computer Interface calibration time.,2010,ICASSP,https://doi.org/10.1109/ICASSP.2010.5495183,inproceedings
95/7006,"['43/3254', '95/7006', '40/3865']",Towards optimum linear transformation under zero-mean Gaussian mixtures for detection of motor imagery EEG.,2010,ICASSP,https://doi.org/10.1109/ICASSP.2010.5495785,inproceedings
95/7006,"['46/8201', '95/7006', '16/4185', '02/622']",A Covariate Shift Minimisation Method to Alleviate Non-stationarity Effects for an Adaptive Brain-Computer Interface.,2010,ICPR,"['https://doi.org/10.1109/ICPR.2010.34', 'http://doi.ieeecomputersociety.org/10.1109/ICPR.2010.34']",inproceedings
95/7006,"['80/910', '95/7006']",Spatially Regularized Common Spatial Patterns for EEG Classification.,2010,ICPR,"['https://doi.org/10.1109/ICPR.2010.904', 'http://doi.ieeecomputersociety.org/10.1109/ICPR.2010.904']",inproceedings
95/7006,"['08/1924', '95/7006', '00/8618', '28/8616', '57/8613', '73/6028']",A Brain-Computer Interface for Mental Arithmetic Task from Single-Trial Near-Infrared Spectroscopy Brain Signals.,2010,ICPR,"['https://doi.org/10.1109/ICPR.2010.917', 'http://doi.ieeecomputersociety.org/10.1109/ICPR.2010.917']",inproceedings
95/7006,"['43/3254', '95/7006', '08/1924']",An Information Theoretic Linear Discriminant Analysis Method.,2010,ICPR,"['https://doi.org/10.1109/ICPR.2010.1016', 'http://doi.ieeecomputersociety.org/10.1109/ICPR.2010.1016']",inproceedings
95/7006,"['08/1924', '95/7006', '00/8618', '28/8616', '57/8613', '73/6028']",Application of rough set-based neuro-fuzzy system in NIRS-based BCI for assessing numerical cognition in classroom.,2010,IJCNN,https://doi.org/10.1109/IJCNN.2010.5596921,inproceedings
95/7006,"['25/10066', '68/5333-1', '95/7006', '08/1924', '00/4951']",EEG signal separation for multi-class motor imagery using common spatial patterns based on Joint Approximate Diagonalization.,2010,IJCNN,https://doi.org/10.1109/IJCNN.2010.5596966,inproceedings
95/7006,"['18/9428', '95/7006', '30/6609', '92/249']",A Study on the impact of spectral variability in brain-computer interface.,2010,ISCAS,https://doi.org/10.1109/ISCAS.2010.5537303,inproceedings
95/7006,"['26/7230', 'q/HiokChaiQuek', '95/7006']",An Evolving Type-2 Neural Fuzzy Inference System.,2010,PRICAI,https://doi.org/10.1007/978-3-642-15246-7_49,inproceedings
95/7006,"['51/2525', '76/6379', '29/3856', '95/7006', '19/6212', '85/6782']",Voxel Selection in fMRI Data Analysis Based on Sparse Representation.,2009,IEEE Trans. Biomed. Eng.,"['https://doi.org/10.1109/TBME.2009.2025866', 'https://www.wikidata.org/entity/Q33476606']",article
95/7006,"['18/9428', '95/7006', '30/6609', '92/249', '08/1924']",A New Discriminative Common Spatial Pattern Method for Motor Imagery Brain-Computer Interfaces.,2009,IEEE Trans. Biomed. Eng.,"['https://doi.org/10.1109/TBME.2009.2026181', 'https://www.wikidata.org/entity/Q48521829']",article
95/7006,"['26/7230', 'q/HiokChaiQuek', '95/7006']",T2-HyFIS-yager: Type 2 hybrid neural fuzzy inference system realizing yager inference.,2009,FUZZ-IEEE,https://doi.org/10.1109/FUZZY.2009.5277345,inproceedings
95/7006,"['51/2525', '29/3856', '76/6379', '95/7006']",Voxel selection in fMRI data analysis: A sparse representation method.,2009,ICASSP,"['https://doi.org/10.1109/ICASSP.2009.4959608', 'http://doi.ieeecomputersociety.org/10.1109/ICASSP.2009.4959608']",inproceedings
95/7006,"['29/6026', '43/3254', '95/7006', '40/3865', '73/9801', '94/581', '08/1924']",Learning EEG-based Spectral-spatial Patterns for Attention Level Measurement.,2009,ISCAS,https://doi.org/10.1109/ISCAS.2009.5118043,inproceedings
95/7006,"['18/9428', '95/7006', '30/6609', '92/249']",Discriminative FilterBank Selection and EEG Information Fusion for Brain Computer Interface.,2009,ISCAS,https://doi.org/10.1109/ISCAS.2009.5118044,inproceedings
95/7006,"['51/2525', '95/7006']",Joint feature re-extraction and classification using an iterative semi-supervised support vector machine algorithm.,2008,Mach. Learn.,https://doi.org/10.1007/s10994-007-5039-1,article
95/7006,"['51/2525', '95/7006', '40/4823', '91/3475']",A self-training semi-supervised SVM algorithm and its application in an EEG-based brain computer interface speller system.,2008,Pattern Recognit. Lett.,https://doi.org/10.1016/j.patrec.2008.01.030,article
95/7006,"['43/3254', '95/7006', '40/3865']",Asynchronous P300-Based Brain-Computer Interfaces: A Computational Approach With Statistical Models.,2008,IEEE Trans. Biomed. Eng.,"['https://doi.org/10.1109/TBME.2008.919128', 'https://www.wikidata.org/entity/Q48959888']",article
95/7006,"['51/2525', 'c/AndrzejCichocki', '11/3260', '32/6230', '95/7006']",Equivalence Probability and Sparsity of Two Sparse Solutions in Sparse Representation.,2008,IEEE Trans. Neural Networks,"['https://doi.org/10.1109/TNN.2008.2003980', 'https://www.wikidata.org/entity/Q46091376']",article
95/7006,"['29/6026', '95/7006', '15/5715', '46/434', '38/5876']",Performance Evaluation and Fusion of Methods for Early Detection of Alzheimer Disease.,2008,BMEI (1),"['https://doi.org/10.1109/BMEI.2008.196', 'http://doi.ieeecomputersociety.org/10.1109/BMEI.2008.196']",inproceedings
95/7006,"['26/7230', 'q/HiokChaiQuek', '95/7006']",HyFIS-Yager-gDIC: A Self-organizing Hybrid Neural Fuzzy Inference System Realizing Yager Inference.,2008,ICONIP (1),https://doi.org/10.1007/978-3-642-02490-0_138,inproceedings
95/7006,"['42/2718', '95/7006', '43/3254']",Subject-independent brain computer interface through boosting.,2008,ICPR,"['https://doi.org/10.1109/ICPR.2008.4761452', 'http://doi.ieeecomputersociety.org/10.1109/ICPR.2008.4761452']",inproceedings
95/7006,"['51/2525', '40/3865', '43/3254', '95/7006']",An EEG-based BCI system for 2D cursor control.,2008,IJCNN,https://doi.org/10.1109/IJCNN.2008.4634104,inproceedings
95/7006,"['08/1924', '10/1551', '43/3254', '95/7006']",Filter Bank Common Spatial Pattern (FBCSP) in Brain-Computer Interface.,2008,IJCNN,https://doi.org/10.1109/IJCNN.2008.4634130,inproceedings
95/7006,"['42/2718', '95/7006', '43/3254']",Learning adaptive subject-independent P300 models for EEG-based brain-computer interfaces.,2008,IJCNN,https://doi.org/10.1109/IJCNN.2008.4634141,inproceedings
95/7006,"['14/3430', '95/7006', 'w/JianKangWu', '13/4371', '58/5675']",Expectation-Maximization Method for EEG-Based Continuous Cursor Control.,2007,EURASIP J. Adv. Signal Process.,"OrderedDict([('@type', 'oa'), ('#text', 'https://doi.org/10.1155/2007/49037')])",article
95/7006,"['98/266', '95/6492', '95/7006', '43/3254', '55/3457', '81/583', '95/5971', 'a/MHAng']",Controlling a Wheelchair Indoors Using Thought.,2007,IEEE Intell. Syst.,"['https://doi.org/10.1109/MIS.2007.26', 'http://doi.ieeecomputersociety.org/10.1109/MIS.2007.26']",article
95/7006,"['17/7577', '43/3254', '95/7006', '229/1544', '09/10742', '61/10153', '57/9354', '36/991']",Temporal classification of multichannel near-infrared spectroscopy signals of motor imagery for developing a brain-computer interface.,2007,NeuroImage,"['https://doi.org/10.1016/j.neuroimage.2006.11.005', 'https://www.wikidata.org/entity/Q28281253']",article
95/7006,"['05/2859', '95/7006']",Feature Selection Based on Fisher Ratio and Mutual Information Analyses for Robust Brain Computer Interface.,2007,ICASSP (1),https://doi.org/10.1109/ICASSP.2007.366685,inproceedings
95/7006,"['51/2525', '40/4823', '95/7006', '91/3475']",A Self-Training Semi-Supervised Support Vector Machine Algorithm and its Applications in Brain Computer Interface.,2007,ICASSP (1),https://doi.org/10.1109/ICASSP.2007.366697,inproceedings
95/7006,"['43/3254', '95/7006', '40/3865']",Brainy Communicator.,2007,ICME,"['https://doi.org/10.1109/ICME.2007.4284566', 'http://doi.ieeecomputersociety.org/10.1109/ICME.2007.4284566']",inproceedings
95/7006,"['51/2525', '95/7006']",An Extended EM Algorithm for Joint Feature Extraction and Classification in Brain-Computer Interfaces.,2006,Neural Comput.,"['https://doi.org/10.1162/neco.2006.18.11.2730', 'https://www.wikidata.org/entity/Q48413754']",article
95/7006,"['51/2525', '11/3260', 'c/AndrzejCichocki', '95/7006']",Probability Estimation for Recoverability Analysis of Blind Source Separation Based on Sparse Representation.,2006,IEEE Trans. Inf. Theory,"['https://doi.org/10.1109/TIT.2006.876348', 'https://www.wikidata.org/entity/Q60486917']",article
95/7006,"['51/2525', 'c/AndrzejCichocki', '11/3260', '95/7006']",Analysis of Source Sparsity and Recoverability for SCA Based Blind Source Separation.,2006,ICA,"['https://doi.org/10.1007/11679363_103', 'https://www.wikidata.org/entity/Q60486900']",inproceedings
95/7006,"['43/3254', '95/7006']",A Kernel-based Signal Localization Method for NIRS Brain-computer Interfaces.,2006,ICPR (1),"['https://doi.org/10.1109/ICPR.2006.90', 'http://doi.ieeecomputersociety.org/10.1109/ICPR.2006.90']",inproceedings
95/7006,"['43/3254', '95/7006', '51/2525']",Signal processing for brain-computer interface: enhance feature extraction and classification.,2006,ISCAS,https://doi.org/10.1109/ISCAS.2006.1692910,inproceedings
95/7006,"['25/1820', '95/7006', 'c/ChngEngSiong', '40/6243', '76/5259', 'w/JianKangWu']",High Accuracy Classification of EEG Signal.,2004,ICPR (2),"['https://doi.org/10.1109/ICPR.2004.1334229', 'http://doi.ieeecomputersociety.org/10.1109/ICPR.2004.1334229']",inproceedings
95/7006,"['90/514', '28/9283', '32/6402', '95/7006', '36/4118']",On unit analysis for Cantonese corpus-based TTS.,2003,INTERSPEECH,http://www.isca-speech.org/archive/eurospeech_2003/e03_0269.html,inproceedings
95/7006,"['70/6176', '95/7006', '36/4118', '60/826']",Multilingual speech recognition with language identification.,2002,INTERSPEECH,http://www.isca-speech.org/archive/icslp_2002/i02_0505.html,inproceedings
95/7006,"['95/7006', '45/4687', 'l/WingHongLau']",A space transformation approach for robust speech recognition in noisy environments.,1997,EUROSPEECH,http://www.isca-speech.org/archive/eurospeech_1997/e97_1591.html,inproceedings
95/7006,"['95/7006', '255/3074', '142/7614']",Direct modulation on LPC coefficients with application to speech enhancement and improving the performance of speech recognition in noise.,1993,ICASSP (2),http://doi.ieeecomputersociety.org/10.1109/ICASSP.1993.319242,inproceedings
h/YingHe1,"['74/6131', 'h/YingHe1', '77/4730', '210/4401', '72/3380']",On the Vertex-oriented Triangle Propagation (VTP) Algorithm: Parallelization and Approximation.,2021,Comput. Aided Des.,https://doi.org/10.1016/j.cad.2020.102943,article
h/YingHe1,"['232/2174', '38/5125', '54/8293', '77/4730', '147/1559', 'h/YingHe1']",Parallel and Scalable Heat Methods for Geodesic Distance Computation.,2021,IEEE Trans. Pattern Anal. Mach. Intell.,https://doi.org/10.1109/TPAMI.2019.2933209,article
h/YingHe1,"['238/0488', '137/2585', 'h/YingHe1', '94/3019-30']",Blur Removal Via Blurred-Noisy Image Pair.,2021,IEEE Trans. Image Process.,"['https://doi.org/10.1109/TIP.2020.3036745', 'https://www.wikidata.org/entity/Q102056245']",article
h/YingHe1,"['37/3940', '24/6914', '186/6438', '173/0901', '27/2098', 'h/YingHe1']",Automatic Sitting Pose Generation for Ergonomic Ratings of Chairs.,2021,IEEE Trans. Vis. Comput. Graph.,https://doi.org/10.1109/TVCG.2019.2938746,article
h/YingHe1,"['24/5091', '137/2585', '79/627', 'h/YingHe1']",Pointfilter: Point Cloud Filtering via Encoder-Decoder Modeling.,2021,IEEE Trans. Vis. Comput. Graph.,https://doi.org/10.1109/TVCG.2020.3027069,article
h/YingHe1,"['69/4450', '137/2585', '34/7408', '20/10149', '95/3736', 'h/YingHe1', '43/835']",HLO: Half-kernel Laplacian operator for surface smoothing.,2020,Comput. Aided Des.,https://doi.org/10.1016/j.cad.2019.102807,article
h/YingHe1,"['190/1787', '136/5469', '30/9845', 'h/YingHe1', '27/2098']",Dirichlet energy of Delaunay meshes and intrinsic Delaunay triangulations.,2020,Comput. Aided Des.,https://doi.org/10.1016/j.cad.2020.102851,article
h/YingHe1,"['81/8426', '223/1501', '73/1149', '121/8989', '18/3046', '72/3380', '97/2964', 'h/YingHe1']",Computing Smooth Quasi-geodesic Distance Field (QGDF) with Quadratic Programming.,2020,Comput. Aided Des.,https://doi.org/10.1016/j.cad.2020.102879,article
h/YingHe1,"['281/0820', '221/4669', '145/5320', '72/3380', 'h/YingHe1', '121/8989', '73/1149', '49/4096']",Robust Computation of 3D Apollonius Diagrams.,2020,Comput. Graph. Forum,https://doi.org/10.1111/cgf.14125,article
h/YingHe1,"['h/ShiMinHu', 'h/YingHe1', '24/7593']",Preface.,2020,J. Comput. Sci. Technol.,https://doi.org/10.1007/s11390-020-0004-6,article
h/YingHe1,"['263/9660', '77/4730', 'h/YingHe1']",Fast Construction of Discrete Geodesic Graphs.,2020,ACM Trans. Graph.,https://doi.org/10.1145/3144567,article
h/YingHe1,"['24/3702', '26/3470', '77/4730', '27/2098', 'h/ShiMinHu', '79/627', '94/5679', 'h/YingHe1']",Poisson Vector Graphics (PVG).,2020,IEEE Trans. Vis. Comput. Graph.,"['https://doi.org/10.1109/TVCG.2018.2867478', 'https://www.wikidata.org/entity/Q57124744']",article
h/YingHe1,"['181/7394', '69/732', '60/657', 'h/YingHe1']",PhysioTreadmill: An Auto-Controlled Treadmill Featuring Physiological-Data-Driven Visual/Audio Feedback.,2020,CW,https://doi.org/10.1109/CW49994.2020.00042,inproceedings
h/YingHe1,"['02/6629', '122/2673', '18/30', 'h/YingHe1']",PUGeo-Net: A Geometry-Centric Network for 3D Point Cloud Upsampling.,2020,ECCV (19),https://doi.org/10.1007/978-3-030-58529-7_44,inproceedings
h/YingHe1,"['24/5091', '77/4730', '137/2585', '79/627', '07/3794', '94/3019-30', 'h/YingHe1']",Deep Patch-Based Human Segmentation.,2020,ICONIP (1),https://doi.org/10.1007/978-3-030-63830-6_20,inproceedings
h/YingHe1,"['24/5091', '137/2585', '79/627', 'h/YingHe1']",Pointfilter: Point Cloud Filtering via Encoder-Decoder Modeling.,2020,CoRR,"OrderedDict([('@type', 'oa'), ('#text', 'https://arxiv.org/abs/2002.05968')])",article
h/YingHe1,"['02/6629', '122/2673', '18/30', 'h/YingHe1']",PUGeo-Net: A Geometry-centric Network for 3D Point Cloud Upsampling.,2020,CoRR,"OrderedDict([('@type', 'oa'), ('#text', 'https://arxiv.org/abs/2002.10277')])",article
